IRIS,Social_Housing,kmeans_class
751010101,0.2903782292335411,0
751010102,0.0,1
751010103,0.0459883870762124,1
751010104,0.0,1
751010105,0.0,1
751010199,0.0,1
751010201,0.0600217789932432,1
751010202,0.0092784662731818,1
751010203,0.1224529711393066,1
751010204,0.2023055041491539,0
751010205,0.0,1
751010206,0.0,1
751010301,0.0118919777960177,1
751010302,0.0440421681632678,1
751010303,0.0,1
751010401,0.0,1
751010402,0.009605844216954,1
751020501,0.1496034265340225,1
751020502,0.0177515004478377,1
751020503,0.0,1
751020601,0.0079218711097061,1
751020602,0.0034748383392827,1
751020701,0.0034605417849235,1
751020702,0.009254246645271,1
751020703,0.0470228068258205,1
751020704,0.0511920163623552,1
751020801,0.0121168196839052,1
751020802,0.0194461896519256,1
751020803,0.0153837547565238,1
751020804,0.0,1
751020805,0.0214210822229921,1
751030901,0.0137485249816464,1
751030902,0.0024094431335873,1
751030903,0.0434270967833091,1
751030904,0.0669158899686677,1
751030905,0.1514540998257584,1
751031001,0.0092623613760582,1
751031002,0.0505745280544035,1
751031003,0.0411847523061023,1
751031004,0.0,1
751031101,0.0684250316721738,1
751031102,0.0275585540003995,1
751031103,0.0456833936088429,1
751031104,0.0115433399223944,1
751031201,0.0108031774997045,1
751031202,0.0796313407793583,1
751031203,0.3382972026916626,0
751031204,0.0373507573006746,1
751041301,0.112119234241171,1
751041302,0.0214164954138903,1
751041303,0.172968694204581,1
751041304,0.0,1
751041305,0.0,1
751041399,0.0,1
751041401,0.4123362144940354,0
751041402,0.0495801868302603,1
751041403,0.0097014246637843,1
751041404,0.0088559574134805,1
751041499,0.0,1
751041501,0.0845261901733652,1
751041502,0.0,1
751041503,0.0073242765758077,1
751041504,0.0,1
751041588,0.0,1
751041599,0.0,1
751041601,0.0057184363844774,1
751041602,0.0,1
751041603,0.0,1
751041699,0.0,1
751051701,0.0022600822605615,1
751051702,0.0,1
751051703,0.0612520000550562,1
751051704,0.0400677157607177,1
751051705,0.1403568859329526,1
751051706,0.0,1
751051799,0.0,1
751051801,0.0044302177239057,1
751051802,0.0096940907018887,1
751051803,0.0361913529941489,1
751051804,0.2785317995975802,0
751051805,0.2591755311928846,0
751051806,0.261999326295034,0
751051807,0.0813815223379823,1
751051808,0.0,1
751051809,0.0,1
751051899,0.0,1
751051901,0.0018509349017425,1
751051902,0.0648616373262548,1
751051903,0.175278989048165,1
751051904,0.0094457955018586,1
751051905,0.0495501274043433,1
751051906,0.0097764034314055,1
751051907,0.0870712060043412,1
751051908,0.0125884255334971,1
751052001,0.0597926755722785,1
751052002,0.0,1
751052003,0.0072450528162094,1
751052004,0.1025712230749159,1
751052005,0.0,1
751052099,0.0,1
751062101,0.0074540927878865,1
751062102,0.033377209456105,1
751062103,0.0145414825656997,1
751062199,0.0,1
751062201,0.0,1
751062202,0.0012766679619835,1
751062203,0.0096862230018452,1
751062204,0.0,1
751062205,0.0,1
751062301,0.0,1
751062302,0.0043328970961224,1
751062303,0.0,1
751062304,0.0,1
751062305,0.0,1
751062306,0.0,1
751062307,0.0,1
751062308,0.0343490061062128,1
751062309,0.1463114887581538,1
751062310,0.0542721482907773,1
751062311,0.0,1
751062401,0.0,1
751062402,0.063195771691078,1
751062499,0.0,1
751072501,0.0084688464389027,1
751072502,0.0053482853552426,1
751072503,0.0,1
751072504,0.0,1
751072505,0.0030571451025494,1
751072506,0.005673768100616,1
751072507,0.0,1
751072508,0.0,1
751072599,0.0,1
751072601,0.0107284180547564,1
751072602,0.0,1
751072603,0.0,1
751072604,0.0,1
751072605,0.0,1
751072606,0.0,1
751072699,0.0,1
751072701,0.0026880217859359,1
751072702,0.0,1
751072703,0.0,1
751072704,0.003441564862071,1
751072705,0.0,1
751072706,0.0345774246148617,1
751072707,0.0,1
751072801,0.0062524666443909,1
751072802,0.0081614694654993,1
751072803,0.0,1
751072804,0.0235809096830905,1
751072805,0.0014323895164481,1
751072806,0.0,1
751072807,0.0030621576763762,1
751072808,0.0,1
751072809,0.0,1
751072810,0.0,1
751072811,0.0,1
751072812,0.0,1
751072899,0.0,1
751082901,0.0052224395729566,1
751082902,0.0,1
751082903,0.0,1
751082904,0.0,1
751082905,0.0,1
751082906,0.0,1
751082907,0.0,1
751082999,0.0,1
751083001,0.0139541330990785,1
751083002,0.0067771560115864,1
751083003,0.0,1
751083004,0.018510735497427,1
751083005,0.1126176226364814,1
751083006,0.0,1
751083101,0.0,1
751083102,0.0,1
751083103,0.093867554466979,1
751083104,0.0860226252929702,1
751083105,0.0,1
751083106,0.0,1
751083107,0.1158849487508263,1
751083108,0.0307892391535151,1
751083201,0.2074001227831803,0
751083202,0.0,1
751083203,0.0,1
751083204,0.0,1
751083205,0.0330123479863596,1
751083206,0.007363523548149,1
751083207,0.0248764272097611,1
751083208,0.1675808545931625,1
751083209,0.0,1
751083210,0.0,1
751093301,0.0,1
751093302,0.0,1
751093303,0.0721002388381289,1
751093304,0.0041825180267607,1
751093305,0.0,1
751093306,0.0347843215988798,1
751093307,0.0174758685416804,1
751093308,0.1525032551865849,1
751093309,0.1899771649616118,0
751093310,0.0035436668271447,1
751093311,0.0395661628845396,1
751093401,0.2610488737342754,0
751093402,0.0,1
751093403,0.0,1
751093404,0.0,1
751093405,0.0255809662250266,1
751093406,0.0,1
751093407,0.0958526503840156,1
751093408,0.0425746500105212,1
751093409,0.0,1
751093501,0.0930451070583022,1
751093502,0.0758922598670911,1
751093503,0.0531262014988094,1
751093504,0.0,1
751093601,0.0025414861776904,1
751093602,0.0163191660411545,1
