DCOMIRIS,DEPCOM,NOM_COM,IRIS,NOM_IRIS,TYP_IRIS,coords,geometry,Social_Housing,kmeans_class,centroids
751010204,75101,Paris 1er Arrondissement,0204,Les Halles 4,H,"[(652285.81, 6862819.57), (652245.57, 6862834.53), (652242.1, 6862825.0), (652214.1, 6862730.1), (652208.4, 6862681.7), (652192.6, 6862688.9), (652124.65, 6862710.05), (652008.7, 6862746.1), (651989.6, 6862752.1), (651976.7, 6862756.2), (651873.4, 6862797.6), (651810.0, 6862823.8), (651790.7, 6862832.7), (651858.9, 6862883.7), (651936.3, 6862942.8), (651941.33, 6862948.42), (651911.2, 6862959.8), (652004.85, 6862924.74), (652098.51, 6862889.69), (652192.16, 6862854.63), (652285.81, 6862819.57)]","POLYGON ((652285.81 6862819.57, 652245.57 6862834.53, 652242.1 6862825, 652214.1 6862730.1, 652208.4 6862681.7, 652192.6 6862688.9, 652124.65 6862710.05, 652008.7 6862746.1, 651989.6 6862752.1, 651976.7 6862756.2, 651873.4 6862797.6, 651810 6862823.8, 651790.7 6862832.7, 651858.9 6862883.7, 651936.3 6862942.8, 651941.33 6862948.42, 651911.2 6862959.8, 652004.85 6862924.74, 652098.51 6862889.69, 652192.16 6862854.63, 652285.81 6862819.57))",0.2023055041491539,0,0.0408124610195154
751010101,75101,Paris 1er Arrondissement,0101,Saint-Germain l'Auxerrois 1,H,"[(652186.3, 6862282.9), (652146.79, 6862191.03), (652124.2, 6862138.5), (652093.3, 6862102.5), (652079.0, 6862111.0), (651986.5, 6862149.0), (651902.0, 6862184.0), (651820.0, 6862218.0), (651762.0, 6862246.0), (651800.9, 6862300.0), (651839.93, 6862355.0), (651861.98, 6862393.0), (651867.0, 6862402.0), (651872.0, 6862399.0), (651931.99, 6862368.0), (651989.95, 6862341.0), (652047.9, 6862312.0), (652126.0, 6862271.0), (652170.3, 6862247.6), (652170.77, 6862247.05), (652186.3, 6862282.9)]","POLYGON ((652186.3 6862282.9, 652146.79 6862191.03, 652124.2 6862138.5, 652093.3 6862102.5, 652079 6862111, 651986.5 6862149, 651902 6862184, 651820 6862218, 651762 6862246, 651800.9 6862300, 651839.93 6862355, 651861.98 6862393, 651867 6862402, 651872 6862399, 651931.99 6862368, 651989.95 6862341, 652047.9 6862312, 652126 6862271, 652170.3 6862247.6, 652170.77 6862247.05, 652186.3 6862282.9))",0.2903782292335411,0,0.0408124610195154
751031203,75103,Paris 3e Arrondissement,1203,Sainte-Avoye 3,H,"[(652375.5, 6862786.0), (652383.3, 6862792.6), (652384.0, 6862787.0), (652435.07, 6862766.37), (652490.32, 6862745.59), (652559.86, 6862724.27), (652588.16, 6862715.73), (652627.6, 6862714.9), (652601.4, 6862640.06), (652590.13, 6862608.73), (652581.03, 6862587.23), (652575.0, 6862569.1), (652572.0, 6862560.04), (652568.64, 6862547.54), (652603.46, 6862535.69), (652508.7, 6862567.66), (652413.95, 6862599.63), (652319.2, 6862631.6), (652319.3, 6862646.6), (652328.02, 6862668.31), (652365.3, 6862761.1), (652375.5, 6862786.0)]","POLYGON ((652375.5 6862786, 652383.3 6862792.6, 652384 6862787, 652435.07 6862766.37, 652490.32 6862745.59, 652559.86 6862724.27, 652588.16 6862715.73, 652627.6 6862714.9, 652601.4 6862640.06, 652590.13 6862608.73, 652581.03 6862587.23, 652575 6862569.1, 652572 6862560.04, 652568.64 6862547.54, 652603.46 6862535.69, 652508.7 6862567.66, 652413.95 6862599.63, 652319.2 6862631.6, 652319.3 6862646.6, 652328.02 6862668.31, 652365.3 6862761.1, 652375.5 6862786))",0.3382972026916626,0,0.0408124610195154
751041401,75104,Paris 4e Arrondissement,1401,Saint-Gervais 1,H,"[(653065.0, 6861560.9), (653025.0, 6861582.9), (652878.0, 6861663.9), (652757.0, 6861730.9), (652671.0, 6861779.9), (652569.0, 6861842.93), (652511.0, 6861880.0), (652545.0, 6861956.0), (652557.01, 6861993.52), (652575.0, 6862048.0), (652582.0, 6862069.0), (652594.0, 6862064.9), (652677.0, 6862033.92), (652715.0, 6862019.94), (652794.0, 6861991.0), (652833.01, 6861977.0), (652930.0, 6861941.0), (653024.1, 6861906.0), (653046.0, 6861900.4), (653125.9, 6861870.0), (653155.91, 6861855.0), (653163.91, 6861851.0), (653217.96, 6861823.0), (653228.98, 6861815.0), (653239.0, 6861809.0), (653218.89, 6861772.47), (653197.52, 6861736.98), (653162.5, 6861681.2), (653122.8, 6861628.0), (653087.0, 6861581.0), (653083.1, 6861549.9), (653065.0, 6861560.9)]","POLYGON ((653065 6861560.9, 653025 6861582.9, 652878 6861663.9, 652757 6861730.9, 652671 6861779.9, 652569 6861842.93, 652511 6861880, 652545 6861956, 652557.01 6861993.52, 652575 6862048, 652582 6862069, 652594 6862064.9, 652677 6862033.92, 652715 6862019.94, 652794 6861991, 652833.01 6861977, 652930 6861941, 653024.1 6861906, 653046 6861900.4, 653125.9 6861870, 653155.91 6861855, 653163.91 6861851, 653217.96 6861823, 653228.98 6861815, 653239 6861809, 653218.89 6861772.47, 653197.52 6861736.98, 653162.5 6861681.2, 653122.8 6861628, 653087 6861581, 653083.1 6861549.9, 653065 6861560.9))",0.4123362144940354,0,0.0408124610195154
751051806,75105,Paris 5e Arrondissement,1806,Jardin des Plantes 6,H,"[(652450.7, 6860433.3), (652494.1, 6860436.9), (652637.6, 6860346.5), (652719.8, 6860363.0), (652731.3, 6860319.6), (652657.17, 6860287.34), (652621.9, 6860273.1), (652592.02, 6860261.04), (652541.1, 6860248.0), (652506.04, 6860256.0), (652437.0, 6860278.0), (652438.0, 6860284.1), (652444.59, 6860369.94), (652450.7, 6860433.3)]","POLYGON ((652450.7 6860433.3, 652494.1 6860436.9, 652637.6 6860346.5, 652719.8 6860363, 652731.3 6860319.6, 652657.17 6860287.34, 652621.9 6860273.1, 652592.02 6860261.04, 652541.1 6860248, 652506.04 6860256, 652437 6860278, 652438 6860284.1, 652444.59 6860369.94, 652450.7 6860433.3))",0.261999326295034,0,0.0408124610195154
751051805,75105,Paris 5e Arrondissement,1805,Jardin des Plantes 5,H,"[(652775.2, 6860152.6), (652757.3, 6860212.6), (652743.2, 6860272.6), (652731.3, 6860319.6), (652982.5, 6860416.9), (653235.8, 6860512.7), (653318.88, 6860541.8), (653313.04, 6860529.26), (653270.2, 6860438.9), (653233.84, 6860367.38), (653188.52, 6860278.24), (653143.2, 6860189.1), (653160.69, 6860223.73), (653153.7, 6860223.5), (652890.4, 6860182.5), (652775.2, 6860152.6)]","POLYGON ((652775.2 6860152.6, 652757.3 6860212.6, 652743.2 6860272.6, 652731.3 6860319.6, 652982.5 6860416.9, 653235.8 6860512.7, 653318.88 6860541.8, 653313.04 6860529.26, 653270.2 6860438.9, 653233.84 6860367.38, 653188.52 6860278.24, 653143.2 6860189.1, 653160.69 6860223.73, 653153.7 6860223.5, 652890.4 6860182.5, 652775.2 6860152.6))",0.2591755311928846,0,0.0408124610195154
751051804,75105,Paris 5e Arrondissement,1804,Jardin des Plantes 4,H,"[(652775.2, 6860152.6), (652751.3, 6860142.6), (652649.36, 6860102.28), (652590.01, 6860079.75), (652531.13, 6860065.38), (652414.0, 6860037.1), (652346.0, 6860017.0), (652344.0, 6860021.1), (652364.1, 6860089.0), (652393.04, 6860164.0), (652406.02, 6860195.0), (652431.0, 6860260.0), (652437.0, 6860278.0), (652506.04, 6860256.0), (652541.1, 6860248.0), (652592.02, 6860261.04), (652621.9, 6860273.1), (652657.17, 6860287.34), (652731.3, 6860319.6), (652743.2, 6860272.6), (652757.3, 6860212.6), (652775.2, 6860152.6)]","POLYGON ((652775.2 6860152.6, 652751.3 6860142.6, 652649.36 6860102.28, 652590.01 6860079.75, 652531.13 6860065.38, 652414 6860037.1, 652346 6860017, 652344 6860021.1, 652364.1 6860089, 652393.04 6860164, 652406.02 6860195, 652431 6860260, 652437 6860278, 652506.04 6860256, 652541.1 6860248, 652592.02 6860261.04, 652621.9 6860273.1, 652657.17 6860287.34, 652731.3 6860319.6, 652743.2 6860272.6, 652757.3 6860212.6, 652775.2 6860152.6))",0.2785317995975802,0,0.0408124610195154
751083201,75108,Paris 8e Arrondissement,3201,Europe 1,H,"[(650164.0, 6864064.0), (650164.0, 6864056.0), (650151.0, 6864049.0), (650136.0, 6864047.0), (650122.1, 6864044.1), (650096.0, 6864045.0), (650095.1, 6864047.0), (650089.06, 6864064.0), (650085.0, 6864100.0), (650085.0, 6864112.0), (650073.1, 6864136.0), (650052.1, 6864165.0), (650046.9, 6864172.0), (649987.0, 6864248.1), (649957.0, 6864285.09), (649898.0, 6864359.05), (649858.0, 6864412.0), (649934.1, 6864416.0), (649994.0, 6864419.9), (650108.0, 6864457.1), (650117.0, 6864460.0), (650126.0, 6864462.0), (650187.0, 6864481.0), (650295.0, 6864515.0), (650321.0, 6864438.0), (650352.0, 6864345.0), (650416.0, 6864170.0), (650436.0, 6864126.0), (650409.0, 6864119.0), (650338.0, 6864111.0), (650164.9, 6864075.0), (650164.0, 6864064.0)]","POLYGON ((650164 6864064, 650164 6864056, 650151 6864049, 650136 6864047, 650122.1 6864044.1, 650096 6864045, 650095.1 6864047, 650089.06 6864064, 650085 6864100, 650085 6864112, 650073.1 6864136, 650052.1 6864165, 650046.9 6864172, 649987 6864248.1, 649957 6864285.09, 649898 6864359.05, 649858 6864412, 649934.1 6864416, 649994 6864419.9, 650108 6864457.1, 650117 6864460, 650126 6864462, 650187 6864481, 650295 6864515, 650321 6864438, 650352 6864345, 650416 6864170, 650436 6864126, 650409 6864119, 650338 6864111, 650164.9 6864075, 650164 6864064))",0.2074001227831803,0,0.0408124610195154
751093309,75109,Paris 9e Arrondissement,3309,Saint-Georges 9,H,"[(651403.0, 6864646.0), (651394.95, 6864621.0), (651365.0, 6864535.0), (651375.0, 6864521.0), (651338.0, 6864529.0), (651215.0, 6864569.0), (651253.9, 6864676.0), (651279.98, 6864745.08), (651314.0, 6864779.1), (651361.1, 6864830.2), (651383.0, 6864854.2), (651386.1, 6864860.3), (651391.0, 6864859.0), (651430.9, 6864750.0), (651403.0, 6864646.0)]","POLYGON ((651403 6864646, 651394.95 6864621, 651365 6864535, 651375 6864521, 651338 6864529, 651215 6864569, 651253.9 6864676, 651279.98 6864745.08, 651314 6864779.1, 651361.1 6864830.2, 651383 6864854.2, 651386.1 6864860.3, 651391 6864859, 651430.9 6864750, 651403 6864646))",0.1899771649616118,0,0.0408124610195154
751093401,75109,Paris 9e Arrondissement,3401,Chaussee d'Antin 1,A,"[(651388.97, 6863699.6), (651291.95, 6863675.36), (651194.94, 6863651.11), (651160.6, 6863644.5), (651157.8, 6863651.1), (651149.7, 6863678.4), (651138.3, 6863717.6), (651127.7, 6863762.7), (651102.0, 6863861.9), (651230.0, 6863835.1), (651244.0, 6863832.04), (651256.0, 6863829.9), (651279.08, 6863825.9), (651332.91, 6863815.93), (651401.2, 6863802.0), (651379.2, 6863707.2), (651374.7, 6863699.6), (651388.97, 6863699.6)]","POLYGON ((651388.97 6863699.6, 651291.95 6863675.36, 651194.94 6863651.11, 651160.6 6863644.5, 651157.8 6863651.1, 651149.7 6863678.4, 651138.3 6863717.6, 651127.7 6863762.7, 651102 6863861.9, 651230 6863835.1, 651244 6863832.04, 651256 6863829.9, 651279.08 6863825.9, 651332.91 6863815.93, 651401.2 6863802, 651379.2 6863707.2, 651374.7 6863699.6, 651388.97 6863699.6))",0.2610488737342754,0,0.0408124610195154
